Unnamed: 0.1,date,open,high,low,close,volume,adjclose
312,2000-07-27,105.75,106.375,99.875,100.0,1299100,79.4507827758789
313,2000-07-28,100.125,101.0625,95.9375,98.5,1370800,78.25898742675781
314,2000-07-31,96.0,98.9375,94.5,98.6875,1734100,78.4079818725586
315,2000-08-01,99.0,102.25,97.0,100.625,1990600,79.94731903076172
316,2000-08-02,99.25,102.9375,99.25,102.125,13171500,81.13909912109375
317,2000-08-03,101.625,105.625,100.5,105.625,2700200,83.91987609863281
318,2000-08-04,109.0,112.9375,108.0,111.25,3709300,88.38897705078125
319,2000-08-07,111.5,115.0,109.75,114.0625,2457700,90.62350463867188
320,2000-08-08,114.0625,115.3125,112.8125,113.0,1984600,89.77933502197266
321,2000-08-09,113.0,116.75,111.875,114.9375,1488800,91.31871032714844
322,2000-08-10,115.375,116.75,111.375,112.0,1188900,88.98485565185547
323,2000-08-11,111.75,119.875,111.75,119.875,1489600,95.24160766601562
324,2000-08-14,118.0,121.75,116.625,120.75,2121700,95.9367904663086
325,2000-08-15,120.8125,120.8125,117.75,118.1875,1548900,93.9008560180664
326,2000-08-16,117.0,118.375,111.625,113.0,2521000,89.77933502197266
327,2000-08-17,113.0625,118.875,113.0625,118.625,1780400,94.24846649169922
328,2000-08-18,118.875,119.0,116.0,117.0,853900,92.95741271972656
329,2000-08-21,116.9375,118.75,116.25,117.8125,1082000,93.6029281616211
330,2000-08-22,117.9375,121.5,117.75,119.875,2178800,95.24160766601562
331,2000-08-23,119.75,119.75,118.0625,119.0,1650600,94.54640197753906
332,2000-08-24,119.0625,120.875,117.9375,118.25,1049600,93.95050811767578
333,2000-08-25,118.5,120.1875,117.125,119.375,984200,94.84432220458984
334,2000-08-28,118.25,124.5,118.25,122.4375,1422700,97.27757263183594
335,2000-08-29,121.5,127.4375,121.375,127.4375,2495500,101.25009155273438
336,2000-08-30,125.5,126.5,123.125,123.6875,2136000,98.2706527709961
337,2000-08-31,124.5,129.5,123.875,129.5,1394100,102.88873291015624
338,2000-09-01,128.0,129.8125,127.125,129.625,993800,102.98804473876952
339,2000-09-05,128.6875,130.0625,127.1875,128.8125,1184400,102.3425521850586
340,2000-09-06,128.6875,132.875,127.5,128.125,2104200,101.79629516601562
341,2000-09-07,127.875,129.5,125.9375,128.6875,1046800,102.2431869506836
342,2000-09-08,127.5,129.1875,124.0,124.25,1358800,98.71755981445312
343,2000-09-11,127.0,132.4375,126.3125,132.0,2718400,104.87496185302734
344,2000-09-12,132.3125,133.625,129.6875,131.3125,1905100,104.32878112792969
345,2000-09-13,129.25,130.75,127.375,128.5,1437400,102.09422302246094
346,2000-09-14,129.375,131.75,128.6875,129.0,1278100,102.49148559570312
347,2000-09-15,128.0,128.125,124.3125,124.875,1441100,99.21416473388672
348,2000-09-18,124.0,124.125,117.75,118.5625,2410400,94.19881439208984
349,2000-09-19,118.5625,121.4375,115.3125,119.9375,3284700,95.29127502441406
350,2000-09-20,121.5,122.9375,114.9375,118.0,2067500,93.7519073486328
351,2000-09-21,114.0,114.3125,111.25,113.25,2324000,89.97796630859375
352,2000-09-22,110.0,115.5,109.5,114.875,2382900,91.26908111572266
353,2000-09-25,116.125,118.6875,116.0625,116.5,1337900,92.56017303466795
354,2000-09-26,115.125,115.625,109.5,110.875,2032900,88.0910415649414
355,2000-09-27,111.0,111.75,105.75,107.0625,2008800,85.06197357177734
356,2000-09-28,107.0,114.5625,107.0,113.0,1891700,89.77933502197266
357,2000-09-29,111.5,117.25,111.4375,114.0625,2193700,90.62350463867188
358,2000-10-02,113.125,116.875,113.125,115.375,1258700,91.66633605957031
359,2000-10-03,115.625,116.875,113.0,113.875,1502600,90.47454071044922
360,2000-10-04,113.5,113.5625,108.625,109.4375,1757900,86.94892120361328
361,2000-10-05,109.75,115.9375,109.75,114.875,1853900,91.26908111572266
362,2000-10-06,113.375,113.625,105.4375,108.875,3625100,86.50199127197266
363,2000-10-09,107.0,107.625,103.6875,105.25,1612200,83.62191772460938
364,2000-10-10,105.3125,105.75,100.0,102.6875,2744500,81.58602142333984
365,2000-10-11,99.5,106.0,96.5625,104.0,5509500,82.62879180908203
366,2000-10-12,104.0,104.0,94.0625,94.3125,3723100,74.93199920654297
367,2000-10-13,94.3125,102.0,94.3125,101.5,2798700,80.64250946044922
